date,department,headcount,monthly_cost
2023-01-31,Operations,12,67040.53281813626
2023-02-28,Operations,12,67040.53281813626
2023-03-31,Operations,12,67040.53281813626
2023-04-30,Operations,12,67040.53281813626
2023-05-31,Operations,12,67040.53281813626
2023-06-30,Operations,12,67040.53281813626
2023-07-31,Operations,12,67040.53281813626
2023-08-31,Operations,12,67040.53281813626
2023-09-30,Operations,12,67040.53281813626
2023-10-31,Operations,12,67040.53281813626
2023-11-30,Operations,12,67040.53281813626
2023-12-31,Operations,12,67040.53281813626
2024-01-31,Operations,12,67040.53281813626
2024-02-29,Operations,12,67040.53281813626
2024-03-31,Operations,12,67040.53281813626
2024-04-30,Operations,12,67040.53281813626
2024-05-31,Operations,12,67040.53281813626
2024-06-30,Operations,12,67040.53281813626
2024-07-31,Operations,12,67040.53281813626
2024-08-31,Operations,12,67040.53281813626
2024-09-30,Operations,12,67040.53281813626
2024-10-31,Operations,12,67040.53281813626
2024-11-30,Operations,12,67040.53281813626
2024-12-31,Operations,12,67040.53281813626
2025-01-31,Operations,12,67040.53281813626
2025-02-28,Operations,12,67040.53281813626
2025-03-31,Operations,12,67040.53281813626
2025-04-30,Operations,12,67040.53281813626
2025-05-31,Operations,12,67040.53281813626
2025-06-30,Operations,12,67040.53281813626
2025-07-31,Operations,12,67040.53281813626
2025-08-31,Operations,12,67040.53281813626
2025-09-30,Operations,12,67040.53281813626
2025-10-31,Operations,12,67040.53281813626
2025-11-30,Operations,12,67040.53281813626
2025-12-31,Operations,12,67040.53281813626
2023-01-31,Risk,27,118821.03109788665
2023-02-28,Risk,27,118821.03109788665
2023-03-31,Risk,27,118821.03109788665
2023-04-30,Risk,27,118821.03109788665
2023-05-31,Risk,27,118821.03109788665
2023-06-30,Risk,27,118821.03109788665
2023-07-31,Risk,27,118821.03109788665
2023-08-31,Risk,27,118821.03109788665
2023-09-30,Risk,27,118821.03109788665
2023-10-31,Risk,27,118821.03109788665
2023-11-30,Risk,27,118821.03109788665
2023-12-31,Risk,27,118821.03109788665
2024-01-31,Risk,27,118821.03109788665
2024-02-29,Risk,27,118821.03109788665
2024-03-31,Risk,27,118821.03109788665
2024-04-30,Risk,27,118821.03109788665
2024-05-31,Risk,27,118821.03109788665
2024-06-30,Risk,27,118821.03109788665
2024-07-31,Risk,27,118821.03109788665
2024-08-31,Risk,27,118821.03109788665
2024-09-30,Risk,27,118821.03109788665
2024-10-31,Risk,27,118821.03109788665
2024-11-30,Risk,27,118821.03109788665
2024-12-31,Risk,27,118821.03109788665
2025-01-31,Risk,27,118821.03109788665
2025-02-28,Risk,27,118821.03109788665
2025-03-31,Risk,27,118821.03109788665
2025-04-30,Risk,27,118821.03109788665
2025-05-31,Risk,27,118821.03109788665
2025-06-30,Risk,27,118821.03109788665
2025-07-31,Risk,27,118821.03109788665
2025-08-31,Risk,27,118821.03109788665
2025-09-30,Risk,27,118821.03109788665
2025-10-31,Risk,27,118821.03109788665
2025-11-30,Risk,27,118821.03109788665
2025-12-31,Risk,27,118821.03109788665
2023-01-31,Compliance,5,25738.63621796507
2023-02-28,Compliance,5,25738.63621796507
2023-03-31,Compliance,5,25738.63621796507
2023-04-30,Compliance,5,25738.63621796507
2023-05-31,Compliance,5,25738.63621796507
2023-06-30,Compliance,5,25738.63621796507
2023-07-31,Compliance,5,25738.63621796507
2023-08-31,Compliance,5,25738.63621796507
2023-09-30,Compliance,5,25738.63621796507
2023-10-31,Compliance,5,25738.63621796507
2023-11-30,Compliance,5,25738.63621796507
2023-12-31,Compliance,5,25738.63621796507
2024-01-31,Compliance,5,25738.63621796507
2024-02-29,Compliance,5,25738.63621796507
2024-03-31,Compliance,5,25738.63621796507
2024-04-30,Compliance,5,25738.63621796507
2024-05-31,Compliance,5,25738.63621796507
2024-06-30,Compliance,5,25738.63621796507
2024-07-31,Compliance,5,25738.63621796507
2024-08-31,Compliance,5,25738.63621796507
2024-09-30,Compliance,5,25738.63621796507
2024-10-31,Compliance,5,25738.63621796507
2024-11-30,Compliance,5,25738.63621796507
2024-12-31,Compliance,5,25738.63621796507
2025-01-31,Compliance,5,25738.63621796507
2025-02-28,Compliance,5,25738.63621796507
2025-03-31,Compliance,5,25738.63621796507
2025-04-30,Compliance,5,25738.63621796507
2025-05-31,Compliance,5,25738.63621796507
2025-06-30,Compliance,5,25738.63621796507
2025-07-31,Compliance,5,25738.63621796507
2025-08-31,Compliance,5,25738.63621796507
2025-09-30,Compliance,5,25738.63621796507
2025-10-31,Compliance,5,25738.63621796507
2025-11-30,Compliance,5,25738.63621796507
2025-12-31,Compliance,5,25738.63621796507
2023-01-31,IT,28,184973.77849900027
2023-02-28,IT,28,184973.77849900027
2023-03-31,IT,28,184973.77849900027
2023-04-30,IT,28,184973.77849900027
2023-05-31,IT,28,184973.77849900027
2023-06-30,IT,28,184973.77849900027
2023-07-31,IT,28,184973.77849900027
2023-08-31,IT,28,184973.77849900027
2023-09-30,IT,28,184973.77849900027
2023-10-31,IT,28,184973.77849900027
2023-11-30,IT,28,184973.77849900027
2023-12-31,IT,28,184973.77849900027
2024-01-31,IT,28,184973.77849900027
2024-02-29,IT,28,184973.77849900027
2024-03-31,IT,28,184973.77849900027
2024-04-30,IT,28,184973.77849900027
2024-05-31,IT,28,184973.77849900027
2024-06-30,IT,28,184973.77849900027
2024-07-31,IT,28,184973.77849900027
2024-08-31,IT,28,184973.77849900027
2024-09-30,IT,28,184973.77849900027
2024-10-31,IT,28,184973.77849900027
2024-11-30,IT,28,184973.77849900027
2024-12-31,IT,28,184973.77849900027
2025-01-31,IT,28,184973.77849900027
2025-02-28,IT,28,184973.77849900027
2025-03-31,IT,28,184973.77849900027
2025-04-30,IT,28,184973.77849900027
2025-05-31,IT,28,184973.77849900027
2025-06-30,IT,28,184973.77849900027
2025-07-31,IT,28,184973.77849900027
2025-08-31,IT,28,184973.77849900027
2025-09-30,IT,28,184973.77849900027
2025-10-31,IT,28,184973.77849900027
2025-11-30,IT,28,184973.77849900027
2025-12-31,IT,28,184973.77849900027
2023-01-31,Finance,25,109831.29256535231
2023-02-28,Finance,25,109831.29256535231
2023-03-31,Finance,25,109831.29256535231
2023-04-30,Finance,25,109831.29256535231
